metric,standard,random,absolute_difference_standard_minus_random,relative_ratio_standard_over_random
interactions,322278385.0,1186059.0,321092326.0,271.7220517697686
users,27285.0,27285.0,0.0,1.0
items,32038693.0,7583.0,32031110.0,4225.0683106949755
is_click_rate,0.37871774118515583,0.1761581843736273,0.20255955681152854,2.1498730957734247
is_like_rate,0.016652205825097455,0.0047982435949645,0.011853962230132955,3.470479456810624
is_follow_rate,0.0010653150070861874,0.0002613697969493929,0.0008039452101367945,4.07589178061173
is_comment_rate,0.002515154716317695,0.00034652576305225965,0.0021686289532654355,7.2582041062799245
is_forward_rate,0.0008718239046655269,0.0003389376076569547,0.0005328862970085722,2.572225344636045
is_hate_rate,0.000484776538767873,0.0011390664376729994,-0.0006542898989051264,0.4255911005140523
long_view_rate,0.2604479447171116,0.08496120344772055,0.175486741269391,3.065492650152653
is_profile_enter_rate,0.0179275442254683,0.005562117904758532,0.012365426320709768,3.2231507013058525
play_time_ms_median,3114.0,2091.0,1023.0,1.4892395982783357
play_time_ms_mean,14709.664683646097,6935.511300028076,7774.153383618021,2.1209200082460464
duration_ms_median,28933.0,76833.0,-47900.0,0.3765699634271732
duration_ms_mean,72456.85639066673,104438.8331465804,-31981.976755913667,0.6937731321545233
valid_play_ratio_median,0.11442385173247381,0.03479841208689972,0.07962543964557409,3.2881917556103097
valid_play_ratio_mean,0.4171456234047767,0.14131522912260933,0.2758303942821674,2.9518801759352393
interactions_per_user_median,8594.0,22.0,8572.0,390.6363636363636
interactions_per_user_p95,32590.79999999999,152.0,32438.79999999999,214.41315789473677
interactions_per_user_p99,56230.32,309.0,55921.32,181.97514563106796
item_popularity_interactions_median,1.0,162.0,-161.0,0.006172839506172839
item_popularity_interactions_p95,30.0,184.0,-154.0,0.16304347826086957
item_popularity_interactions_p99,168.0,194.0,-26.0,0.865979381443299
item_popularity_interactions_max,15380.0,214.0,15166.0,71.86915887850468
